,stationId,date,temperature,pressure,humidity,weather,weather_code,weather_desc,weather_cloud,weather_rain,wind_speed,wind_direction
0,dongsi_aq,2018-04-26 00:00:00,13.580000000000041,1000.52,56,Clear,800,clear sky,8,0.0,2.48,190.002
0,dongsi_aq,2018-04-26 03:00:00,9.400000000000034,999.47,76,Clear,800,clear sky,0,0.0,0.83,92.002
0,dongsi_aq,2018-04-26 06:00:00,7.0,999.31,81,Clear,800,clear sky,0,0.0,1.11,49.5011
0,dongsi_aq,2018-04-26 09:00:00,15.629999999999995,1000.18,51,Clear,800,clear sky,0,0.0,1.56,16.503
0,dongsi_aq,2018-04-26 12:00:00,22.307000000000016,999.59,44,Clear,800,clear sky,0,0.0,1.42,112.504
0,dongsi_aq,2018-04-26 15:00:00,24.954000000000008,998.36,48,Rain,500,light rain,48,0.212337,1.51,82.5015
0,dongsi_aq,2018-04-26 18:00:00,24.89500000000004,999.51,37,Rain,500,light rain,0,0.403925,2.97,5.00208
0,dongsi_aq,2018-04-26 21:00:00,19.585000000000036,1003.18,26,Clear,800,clear sky,0,0.0,4.16,7.50436
0,dongsi_aq,2018-04-27 00:00:00,14.175000000000011,1007.05,34,Clear,800,clear sky,0,0.0,2.41,31.0001
0,dongsi_aq,2018-04-27 03:00:00,9.314000000000021,1008.21,66,Clear,800,clear sky,0,0.0,0.97,245.501
0,dongsi_aq,2018-04-27 06:00:00,7.611000000000047,1009.2,65,Clear,800,clear sky,0,0.0,1.36,229.003
0,dongsi_aq,2018-04-27 09:00:00,16.81800000000004,1010.54,41,Clear,800,clear sky,0,0.0,2.45,179.502
0,dongsi_aq,2018-04-27 12:00:00,21.757000000000005,1009.9,44,Clear,800,clear sky,0,0.0,3.46,183.5
0,dongsi_aq,2018-04-27 15:00:00,23.984000000000037,1006.93,37,Clear,800,clear sky,0,1.3000000000041e-05,4.67,189.001
0,dongsi_aq,2018-04-27 18:00:00,23.900000000000034,1004.52,33,Clear,800,clear sky,0,0.0,4.36,184.0
